
|                                                                                                                        :address |                                                                                        :address-c | :postal-c | :c | :score |                  :x |                 :y |                                  :id |
|                                                                                Rua 1º de Maio, 1º F 3850-003 ALBERGARIA A VELHA |                                            Rua 1 de Maio 1º, 3850-003, Albergaria-a-Velha, Aveiro |  3850-003 |  2 |  99.73 |  -8.479424655277292 |  40.68996485553297 | 317f17b2-2e8a-3109-85ce-fcf09f3a65a3 |
|                                                                           Rua Amadeu Castanheira Bloco 1 Loja D 3060-318 FEBRES |                         Rua Amadeu Francisco Castanheira 1, 3060-318, Febres, Cantanhede, Coimbra |  3060-318 |  1 |  99.72 |   -8.62552998057825 |  40.40114001389645 | 6e6330ce-f76a-3718-a446-9166f448b7da |
|                                                                Rua António Alves Espirito Santo,Lote 1, Loja 92 2415-440 LEIRIA |                                       Rua António do Espirito Santo 1, 2415-440, Sismaria, Leiria |  2415-440 |  1 |  99.72 |  -8.820561627866361 |  39.75428456053375 | 2ee3f490-87c0-3035-938f-65c7d88e60b7 |
|                                                                                   Rua Maria Campina, Lote 13 A, 8800-418 TAVIRA |                                                      Rua Maria Campina 13, 8800-418, Tavira, Faro |  8800-418 |  1 |  99.71 |   -7.65145996010466 |  37.12089000135701 | 7581c06f-9ff6-3920-9230-57ac94dfbf78 |
|                                                                        Rua Comendador Sá Couto, 59-A 4520-192 SANTA MARIA FEIRA |                               Rua Comendador Sá Couto 59A, 4520-192, Santa Maria da Feira, Aveiro |  4520-192 |  2 |   99.7 |  -8.551969979215386 |  40.92611998362753 | 62cd4847-2119-3b00-8326-b85264a6a562 |
|                                                                                            Rua do Baco, 16 A 2580 -010 ABRIGADA |                                              Rua do Baco 16, 2580-010, Abrigada, Alenquer, Lisboa |  2580-010 |  1 |  99.63 |  -9.019039966640548 | 39.144419980768305 | aafde8e1-e3ae-3041-975c-53e1ba6effba |
|                                                                                          Rua Frei Diogo de Murça 5090-135 MURÇA |                                           Rua Frei Dom Diogo de Murça, 5090-135, Murça, Vila Real |  5090-135 |  1 |  99.59 |  -7.453859148644214 |  41.40621038097914 | b1bba656-0bf5-30d4-98e4-9f69e485bf75 |
|                                                                           Largo General Humberto Delgado, 39-1º 6300-712 GUARDA |                                               Largo General Humberto Delgado 39, 6300-712, Guarda |  6300-712 |  4 |  99.55 |   -7.26893001574507 |   40.5359799836464 | 89d5d6e2-e4ef-3900-ad7c-86eb5ef294e4 |
|                                                                         Rua Jorge Cunha e Carmo, lote 35 R/c, 2580-531 Alenquer |                                         Rua Jorge da Cunha e Carmo 35, 2580-531, Alenquer, Lisboa |  2580-531 |  1 |  99.52 |  -8.998785196361098 | 39.046851913342024 | 2f2303a8-cf54-3604-9cd4-5771033d6eea |
|                                                                                  Avª das Amoreiras Lote 2-1º 5370-204 MIRANDELA |                                            Avenida das Amoreiras 2, 5370-204, Mirandela, Bragança |  5370-204 |  7 |  99.47 |  -7.179689988111932 |  41.48356997942719 | 94eb941d-67c3-3b04-9fd4-8d5798eb73de |
|                                                                                   Rua José Alves Anastácio, 36-1º 2380 ALCANENA |                                         Rua José Alves Anastácio 36, 2380-077, Alcanena, Santarém |  2380-077 |  1 |  99.46 |  -8.668326134127412 | 39.459030103763325 | f2b71ed1-eb52-3202-8a90-673b56cb804a |
|                                                                                Rua Silveira Campos, 25 r/c 4490-107 A VER-O-MAR |                          Rua de Silveira Campos 25, 4490-107, A Ver-o-Mar, Póvoa de Varzim, Porto |  4490-107 |  1 |  99.44 |  -8.772340020524496 |  41.40289998678625 | f7278ce9-fe68-3769-af8d-d336f02e93b3 |
|                                                                                  Rua Guedes de Azevedo, 131 - 1º 4000-272 PORTO |                                                     Rua de Guedes de Azevedo 131, 4000-272, Porto |  4000-272 |  1 |  99.43 |  -8.606649995132642 |  41.15217999608822 | 23daa2b3-9e42-301c-9c36-0fa565a39eab |
|                                                                                    Largo da Porta Nova, 11-1º 4750-329 BARCELOS |                                                 Largo da Porta Nova 11, 4750-329, Barcelos, Braga |  4750-329 |  1 |  99.43 |  -8.619410017793712 |  41.53087999742985 | 915aa89a-1d3e-3d9e-92c4-4597e5b0aad1 |
|                                                                                   Rua Marquês de Pombal, 45 –1º 6300-728 GUARDA |                                                        Rua Marquês de Pombal 45, 6300-728, Guarda |  6300-728 |  2 |  99.43 |  -7.266619963229914 | 40.537760006514276 | efcd5978-30a0-3dca-b463-10cfd41058ec |
|                                                                                       Praça da República,17-1º 3000-343 COIMBRA |                                                          Praça da República 17, 3000-343, Coimbra |  3000-343 |  1 |  99.41 |  -8.419679993958994 | 40.210009990357804 | 687bbcba-e6ce-394b-8c8a-f2780124bfce |
|                                                                                   Rua Ernesto Alves, 23 – 2º 2040-411 RIO MAIOR |                                               Rua Ernesto Alves 23, 2040-411, Rio Maior, Santarém |  2040-411 |  1 |  99.41 |   -8.93709998993998 | 39.338069981587154 | 3355fa7c-d17d-31be-bb04-c6a06e03c1ed |
|                                                                               Rua João de Oliveira Casquinho, 25 2300-576 TOMAR |                                      Rua João de Oliveira Casquilho 25, 2300-576, Tomar, Santarém |  2300-576 |  1 |  99.39 |  -8.410239959326674 |  39.59877001102956 | 55ff0b2f-2a82-364d-b05e-a9ccd29254e7 |
