
|                                                                                :pr/k | :nec |                                    :imt/name | :imt/nec |                                                                :obs |
|                                                                             a3-00449 |  449 |                                              |          |                                                                     |
|                                                                       florbela-00450 |  450 |                                     Florbela |      450 |                                                                     |
|                                                                        ourique-00451 |  451 |                                      Ourique |      451 |                                                                     |
|                                                                        vanessa-00452 |  452 |                                      Vanessa |      452 |                                                                     |
|                                                                costa-vicentina-00453 |  453 |                              Costa Vicentina |      453 |                                                                     |
|                                                                      rio-minho-00454 |  454 |                                    Rio Minho |      454 |                                                                     |
|                                                                      nova-rota-00455 |  455 |                                    Nova Rota |      455 |                                                                     |
|                                                                        alcains-00456 |  456 |                                      Alcains |      456 |                                                                     |
|                                                            oficina-do-condutor-00457 |  457 |                          Oficina do Condutor |      457 |                                                                     |
|                                                                        murtosa-00458 |  458 |                                      Murtosa |      458 |                                                                     |
|                                                                 sever-do-vouga-00459 |  459 |                               Sever do Vouga |      459 |                                                                     |
|                                                                     alto-minho-00460 |  460 |                                   Alto Minho |      460 |                                                                     |
|                                               alto-nivel-de-albergaria-a-velha-00461 |  461 |             Alto Nível de Albergaria-a-Velha |      461 |                                                                     |
|                                                           a-desportiva-espinho-00463 |  463 |                       A Desportiva - Espinho |      463 |                               archived and nec and href was reused. |
|                                                           a-desportiva-palacio-00464 |  464 |                       A Desportiva – Palácio |      464 |                               archived and nec and href was reused. |
|                                                          a-desportiva-gondomar-00465 |  465 |                                              |          |                          license 465 is 'Gondomar Centro' in imt.pt |
|                                                            a-desportiva-vngaia-00466 |  466 |                                              |          |                                                                     |
|                                                       a-desportiva-santo-tirso-00467 |  467 |                    A Desportiva- Santo Tirso |      467 |                                                                     |
|                                                                      nova-xira-00468 |  468 |                                    Nova Xira |      468 |                                                                     |
|                                                                      almodovar-00469 |  469 |                                    Almodovar |      469 |                                                                     |
|                                                                 boavista-feira-00470 |  470 |                             Boavista - Feira |      470 |                                                                     |
|                                                                     barcelense-00471 |  471 |                                   Barcelense |      471 |                                                                     |
|                                                                 a-gomescovilha-00472 |  472 |                           A .Gomes - Covilhã |      472 |                                                                     |
|                                                                   figueiroense-00473 |  473 |                                 Figueiroense |      473 |                                                                     |
|                                                                          baiao-00474 |  474 |                                        Baião |      474 |                                                                     |
|                                                      g-gomes-celorico-da-beira-00475 |  475 |                 G. Gomes – Celorico da Beira |      475 |                                                                     |
|                                                                 g-gomes-pinhel-00476 |  476 |                            G. Gomes – Pinhel |      476 |                                                                     |
|                                                   infante-sagres-vila-do-bispo-00477 |  477 |            Infante de Sagres - Vila do Bispo |      477 |                                                                     |
|                                                                        palmela-00478 |  478 |                                   De Palmela |      478 |                                                                     |
|                                                  guedes-vieira-povoa-de-varzim-00479 |  479 |              Guedes Vieira - Póvoa do Varzim |      479 |                                                                     |
|                                                                    arraiolense-00480 |  480 |                                  Arraiolense |      480 |                                                                     |
|                                                                   via-odivelas-00481 |  481 |                                              |          |                       license 481 is 'Chuabo de Odivelas' in imt.pt |
|                                                                      penelense-00482 |  482 |                                    Penelense |      482 |                                                                     |
|                                                                 maria-da-fonte-00484 |  484 |                          Auto Maria da Fonte |      484 |                                                                     |
|                                                                       requinte-00485 |  485 |                                     Requinte |      485 |                                                                     |
|                                                                          sonia-00486 |  486 |                                        Sónia |      486 |                                                                     |
|                                                          santa-maria-de-obidos-00487 |  487 |                        Santa Maria de Óbidos |      487 |                                                                     |
|                                                                 flor-do-cavado-00488 |  488 |                               Flor do Cávado |      488 |                                                                     |
|                                                                          couto-00489 |  489 |                                        Couto |      489 |                                                                     |
|                                                                      atlantida-00490 |  490 |                                    Atlântida |      490 |                                                                     |
|                                                  lago-azul-figueiro-dos-vinhos-00491 |  491 |               Lago Azul –Figueiró dos Vinhos |      491 |                                                                     |
|                                                                    lindaavelha-00492 |  492 |                                Linda-A-Velha |      492 |                                                                     |
|                                                            coimbra-da-pontinha-00493 |  493 |                          Coimbra da Pontinha |      493 |                                                                     |
|                                                                   mogadourense-00494 |  494 |                                              |          |                                   There's a mogadourense under 1201 |
|                                                             fornos-de-algodres-00495 |  495 |                           Fornos de Algodres |      495 |                                                                     |
|                                                             tecnica-do-volante-00496 |  496 |                           Técnica do Volante |      496 |                                                                     |
|                                                                    bom-sucesso-00497 |  497 |                                              |          |                                                                     |
|                                                                    restauracao-00498 |  498 |                                  Restauração |      498 |                                                                     |
|                                                                senhora-da-hora-00499 |  499 |                              Senhora da Hora |      499 |                                                                     |
|                                                                      brilhante-00500 |  500 |                                    Brilhante |      500 |                                                                     |
|                                                 s-cristovao-penalva-do-castelo-00501 |  501 |            S. Cristóvão – Penalva do Castelo |      501 |                                                                     |
|                                                                           mais-00502 |  502 |                                         Mais |      502 |                                                                     |
|                                                                      bom-jesus-00504 |  504 |                                    Bom Jesus |      504 |                                                                     |
|                                                                    mario-costa-00505 |  505 |                                  Mário Costa |      505 |                                                                     |
|                                                                       joanense-00506 |  506 |                                     Joanense |      506 |                                                                     |
|                                                                      vizelense-00507 |  507 |                                    Vizelense |      507 |                                                                     |
|                                                                            ccs-00508 |  508 |                                       C.C.S. |      508 |                                                                     |
|                                                         infante-sagresportimao-00509 |  509 |               Infante de Sagres - Portimão I |      509 |                                                                     |
|                                                                condutor-seguro-00510 |  510 |                              Condutor Seguro |      510 |                                                                     |
|                                                                  vale-de-sousa-00511 |  511 |                                Vale de Sousa |      511 |                                                                     |
|                                                                    cerveirense-00512 |  512 |                                  Cerveirense |      512 |                                                                     |
|                                                                           urbe-00513 |  513 |                                              |          |                              license 513 is 'Barcelinhos' in imt.pt |
|                                                                     la-salette-00514 |  514 |                                              |          |                                                                     |
|                                                                      beira-mar-00515 |  515 |                                    Beira Mar |      515 |                                                                     |
|                                                                    santa-luzia-00516 |  516 |                                  Santa Luzia |      516 |                                                                     |
|                                                                 vale-do-tamega-00517 |  517 |                               Vale do Tâmega |      517 |                                                                     |
|                                                         infante-sagres-massama-00518 |  518 |                  Infante de Sagres - Massamá |      518 |                                                                     |
|                                                          bela-vista-vila-verde-00519 |  519 |                                   Bela Vista |      519 |                                                                     |
|                                                                    santa-maria-00520 |  520 |                                  Santa Maria |      520 |                                                                     |
|                                                                          satao-00521 |  521 |                                        Sátão |      521 |                                                                     |
|                                                                       paivense-00522 |  522 |                                     Paivense |      522 |                                                                     |
|                                                        infante-sagres-barreiro-00523 |  523 |                  Infante de Sagres -Barreiro |      523 |                                                                     |
|                                                                senhora-d-aires-00524 |  524 |                             Senhora D´ Aires |      524 |                                                                     |
|                                                                   portas-da-se-00525 |  525 |                                 Portas da Sé |      525 |                                                                     |
|                                                                       a-garcia-00526 |  526 |                                    A. Garcia |      526 |                                                                     |
|                                                               miranda-do-douro-00527 |  527 |                                              |          |                                   license 527 is 'Nelmar' in imt.pt |
|                                                                    beneditense-00528 |  528 |                                  Beneditense |      528 |                                                                     |
|                                                                         marisa-00529 |  529 |                                       Marisa |      529 |                                                                     |
|                                                                    s-cristovao-00530 |  530 |                                 S. Cristóvão |      530 |                                                                     |
|                                                                    sanjoanense-00531 |  531 |                                  Sanjoanense |      531 |                                                                     |
|                                                                   nova-de-gaia-00532 |  532 |                                    Nova Gaia |      532 |                                                                     |
|                                                                      academica-00533 |  533 |                                    Académica |      533 |                                                                     |
|                                                            a-nova-de-estarreja-00534 |  534 |                          A Nova de Estarreja |      534 |                                                                     |
|                                                                  pero-pinheiro-00535 |  535 |                                Pero Pinheiro |      535 |                                                                     |
|                                                                    costa-verde-00536 |  536 |                                  Costa Verde |      536 |                                                                     |
|                                                                     triangular-00537 |  537 |                                   Triangular |      537 |                                                                     |
|                                                                       amorense-00538 |  538 |                                     Amorense |      538 |                                                                     |
|                                                                       oceanica-00539 |  539 |                                     Oceânica |      539 |                                                                     |
|                                                                         damaia-00540 |  540 |                                       Damaia |      540 |                                                                     |
|                                                             samuel-alves-pinto-00541 |  541 |                           Samuel Alves Pinto |      541 |                                                                     |
|                                                                       s-lazaro-00542 |  542 |                                    S. Lázaro |      542 |                                                                     |
|                                                                       lourinha-00543 |  543 |                                     Lourinhã |      543 |                                                                     |
|                                                                     terra-nova-00544 |  544 |                                              |          |                               license 544 is 'Deu-la-Deu' in imt.pt |
|                                                                      emigrante-00545 |  545 |                                  O Emigrante |      545 |                                                                     |
|                                                                        citania-00546 |  546 |                                      Citânia |      546 |                                                                     |
|                                                              cortes-de-setubal-00547 |  547 |                            Cortes de Setúbal |      547 |                                                                     |
|                                                                         baleia-00548 |  548 |                                       Baleia |      548 |                                                                     |
|                                                                    nova-torres-00549 |  549 |                                  Nova Torres |      549 |                                                                     |
|                                                                      a-rotunda-00550 |  550 |                                    A Rotunda |      550 |                                                                     |
|                                                                        nobreza-00551 |  551 |                                      Nobreza |      551 |                                                                     |
|                                                                    manuel-leal-00552 |  552 |                                  Manuel Leal |      552 |                                                                     |
|                                                               ideal-de-lousada-00553 |  553 |                             Ideal de Lousada |      553 |                                                                     |
|                                                                        o-prado-00554 |  554 |                                      O Prado |      554 |                                                                     |
|                                                                     carta-auto-00555 |  555 |                                 Carta - Auto |      555 |                                                                     |
|                                                                      idanhense-00556 |  556 |                                    Idanhense |      556 |                                                                     |
|                                                                         ancora-00557 |  557 |                                       Âncora |      557 |                                                                     |
|                                                                   a-valenciana-00558 |  558 |                                 A Valenciana |      558 |                                                                     |
|                                                                        saturno-00559 |  559 |                                 Saturno, Ldª |      559 |                                                                     |
|                                                                    pedroguense-00560 |  560 |                                  Pedroguense |      560 |                                                                     |
|                                                                 auto-penaguiao-00561 |  561 |                                              |          |                                                                     |
|                                                  auto-dinamica-vieira-do-minho-00562 |  562 |                                Auto Dinâmica |      562 |                                                                     |
|                                                            colinas-do-cruzeiro-00563 |  563 |                          Colinas do Cruzeiro |      563 |                                                                     |
|                                                                      marialvas-00564 |  564 |                                    Marialvas |      564 |                                                                     |
|                                                                        tarouca-00565 |  565 |                                      Tarouca |      565 |                                                                     |
|                                                                       mindense-00566 |  566 |                                     Mindense |      566 |                                                                     |
|                                                                  moderna-serta-00567 |  567 |                              Moderna – Sertã |      567 |                                                                     |
|                                                                       reguense-00568 |  568 |                                     Reguense |      568 |                                                                     |
|                                                                 novo-horizonte-00570 |  570 |                               Novo Horizonte |      570 |                                                                     |
|                                                                o-grande-premio-00571 |  571 |                              O Grande Prémio |      571 |                                                                     |
|                                                                          zende-00572 |  572 |                                        Zende |      572 |                                                                     |
|                                                                       cordeiro-00573 |  573 |                                     Cordeiro |      573 |                                                                     |
|                                                                        sampaio-00574 |  574 |                                      Sampaio |      574 |                               archived and nec and href was reused. |
|                                                                       numerica-00575 |  575 |                  Escola de Condução Numérica |      575 |                                                                     |
|                                                           auto-dinamina-amares-00576 |  576 |                       Auto Dinâmica - Amares |      576 |                                                                     |
|                                                                   reis-tabuaco-00577 |  577 |                                 Reis Tabuaço |      577 |                                                                     |
|                                                  moderna-vila-franca-das-naves-00581 |  581 |                                              |          |                                                                     |
|                                                                 auto-beira-coa-00582 |  582 |                               Auto Beira Côa |      582 |                                                                     |
|                                                           senhora-dos-remedios-00583 |  583 |                         Senhora dos Remédios |      583 |                                                                     |
|                                                  infante-de-sagres-portimao-ii-00584 |  584 |              Infante de Sagres - Portimão II |      584 |                                                                     |
|                                                                  paco-de-arcos-00585 |  585 |                                Paço D’ Arcos |      585 |                                                                     |
|                                                           infante-sagres-borba-00586 |  586 |                    Infante de Sagres – Borba |      586 |                                                                     |
|                                                                nascente-do-ave-00587 |  587 |                                              |          |           prob. same as auto-dinamica-do-ave-00587. data until 2018 |
|                                                           auto-dinamica-do-ave-00587 |  587 |                         Auto Dinâmica do Ave |      587 |                                                                     |
|                                                                     batalhense-00588 |  588 |                                   Batalhense |      588 |                                                                     |
|                                                                volante-de-lima-00590 |  590 |                              Volante do Lima |      590 |                                                                     |
|                                                                      oleirense-00591 |  591 |                                    Oleirense |      591 |                                                                     |
|                                                                 triunfo-fundao-00592 |  592 |                             Triunfo - Fundão |      592 |                                                                     |
|                                                            infante-sagres-meda-00593 |  593 |                                              |          |                                                                     |
|                                                                       oliveira-00594 |  594 |                                     Oliveira |      594 |                                                                     |
|                                                                   s-bartolomeu-00595 |  595 |                                S. Bartolomeu |      595 |                                   duplicate nec and an archived one |
|                                                                      autonisse-00596 |  596 |                                   Auto Nisse |      596 |                                                                     |
|                                                                        maringa-00597 |  597 |                                      Maringá |      597 |                                                                     |
|                                                                     salvaterra-00598 |  598 |                                   Salvaterra |      598 |                                                                     |
|                                                                    verde-minho-00599 |  599 |                                  Verde Minho |      599 |                                                                     |
|                                                           rainha-santa-mafalda-00600 |  600 |                         Rainha Santa Mafalda |      600 |                                                                     |
|                                                                         gaviao-00601 |  601 |                                       Gavião |      601 |                                                                     |
|                                                                        vitoria-00602 |  602 |                                      Vitória |      602 |                                                                     |
|                                                                    cidade-nova-00603 |  603 |                                  Cidade Nova |      603 |                                                                     |
|                                                                      barquense-00605 |  605 |                                    Barquense |      605 |                                                                     |
|                                                                  auto-sao-braz-00606 |  606 |                                              |          |                                                                     |
|                                                           infante-sagres-olhao-00607 |  607 |                    Infante de Sagres - Olhão |      607 |                                                                     |
|                                                     santo-andre-de-barcelinhos-00608 |  608 |                     Stº André de Barcelinhos |      608 |                                                                     |
|                                                          infante-sagres-tavira-00609 |  609 |                    Infante de Sagres –Tavira |      609 |                                                                     |
|                                                                   monte-agraco-00610 |  610 |                                 Monte Agraço |      610 |                                                                     |
|                                                                      castrense-00611 |  611 |                                    Castrense |      611 |                                                                     |
|                                                                  sra-esperanca-00612 |  612 |                         Senhora da Esperança |      612 |                                                                     |
|                                                                         fatima-00613 |  613 |                                       Fátima |      613 |                                                                     |
|                                                                          extra-00614 |  614 |                                        Extra |      614 |                                                                     |
|                                                                       rotacoes-00615 |  615 |                                     Rotações |      615 |                                                                     |
|                                                              moimenta-da-beira-00616 |  616 |                            Moimenta da Beira |      616 |                                                                     |
|                                                                         europa-00617 |  617 |                                              |          |                                                                     |
|                                                                     santarense-00618 |  618 |                                   Santarense |      618 |                                                                     |
|                                                 auto-dinamica-povoa-de-lanhoso-00620 |  620 |                                Auto Dinâmica |      620 |                                                                     |
|                                                                      penamacor-00621 |  621 |                                    Penamacor |      621 |                                                                     |
|                                                                 nova-em-agueda-00622 |  622 |                               Nova em Águeda |      622 |                                                                     |
|                                                                        estoril-00623 |  623 |                                      Estoril |      623 |                                                                     |
|                                                                        jcdrive-00624 |  624 |                                              |          |                    license 624 is 'do Fanqueiro - Loures' in imt.pt |
|                                                                    jose-relvas-00625 |  625 |                                  José Relvas |      625 |                                                                     |
|                                                                          celas-00626 |  626 |                                        Celas |      626 |                              duplicate nec with siiimpletunas 00626 |
|                                                                  siiimpletunas-00626 |  626 |                                Siiimpletunas |      626 |                               archived and nec and href was reused. |
|                                                                       do-carmo-00627 |  627 |                                        Carmo |      627 |                                                                     |
|                                                                        avenida-00628 |  628 |                                      Avenida |      628 |                                                                     |
|                                                              conde-de-marialva-00629 |  629 |                            Conde de Marialva |      629 |                                                                     |
|                                                                      cavaleira-00630 |  630 |                                              |          |                       license 630 is 'De Pernes - Loures' in imt.pt |
|                                                                        hp-dois-00631 |  631 |                                      HP Dois |      631 |                                                                     |
|                                                                  santo-antonio-00632 |  632 |                                Santo António |      632 |                                                                     |
|                                                                auto-portalegre-00633 |  633 |                              Auto Portalegre |      633 |                                                                     |
|                                                       infante-sagres-aljustrel-00634 |  634 |                Infante de Sagres - Aljustrel |      634 |                                                                     |
|                                                       infante-de-sagrescascais-00635 |  635 |                   Infante de Sagres -Cascais |      635 |                                                                     |
|                                                           infante-sagres-lagos-00636 |  636 |                    Infante de Sagres - Lagos |      636 |                                                                     |
|                                                             academia-albufeira-00637 |  637 |                           Academia Albufeira |      637 |                                                                     |
|                                                              sao-joao-da-talha-00640 |  640 |                             S. João da Talha |      640 |                                                                     |
|                                                                        sorraia-00641 |  641 |                                      Sorraia |      641 |                                                                     |
|                                                       infante-sagres-miradouro-00643 |  643 |                    Infante Sagres –Miradouro |      643 |                                                                     |
|                                                                       andancas-00644 |  644 |                                     Andanças |      644 |                                                                     |
|                                                         infante-de-sagresloule-00645 |  645 |                                              |          |                                                                     |
|                                                             a-ideal-de-alcacer-00646 |  646 |                           A Ideal de Alcácer |      646 |                                                                     |
|                                                                        alianca-00647 |  647 |                                      Aliança |      647 |                                                                     |
|                                                                 loule-transito-00649 |  649 |                               Loulé Trânsito |      649 |                                                                     |
|                                                            automovel-de-macedo-00650 |  650 |                                              |          |                                             automovel macedo is 338 |
|                                                                      auto-mira-00651 |  651 |                                              |          |                         license 651 is 'Miranda do Douro' in imt.pt |
|                                                                       autoflor-00652 |  652 |                                              |          |                                 there's an auto floor but it's 1007 |
|                                                                      a-minhota-00653 |  653 |                                    A Minhota |      653 |                                                                     |
|                                                                        guiante-00654 |  654 |               Guiante de Gonçalves e Antunes |      654 |                                                                     |
|                                                          s-salvador-de-resende-00655 |  655 |                       S. Salvador de Resende |      655 |                                                                     |
|                                                                   vilarealense-00656 |  656 |                                 Vilarealense |      656 |                                                                     |
|                                                                      inovadora-00657 |  657 |                                    Inovadora |      657 |                                                                     |
|                                                                   cidade-berco-00658 |  658 |                                 Cidade Berço |      658 |                                                                     |
|                                                                  agucadourense-00660 |  660 |                                Aguçadourense |      660 |                                                                     |
|                                                                baia-de-cascais-00661 |  661 |                              Baía de Cascais |      661 |                                                                     |
|                                                                    quatro-ases-00662 |  662 |                                  Quatro Ases |      662 |                                                                     |
